Unnamed: 0,year,input_string,sale_date,address,postal_code,ppr_county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description,date,formatted_address,accuracy,latitude,longitude,postcode,type,geo_county,electoral_district,electoral_district_id,region,small_area
197841,2017.0,"(MAIN HSE), GRACEDIEU, BALLYBOUGHAL,Dublin,Ireland",11/01/2017,"(MAIN HSE), GRACEDIEU, BALLYBOUGHAL",,Dublin,665000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-01-11,,,,,,,,,,,
197842,2017.0,"(MAIN HSE), GRACEDIEU, BALLYBOUGHAL,Dublin,Ireland",11/01/2017,"(MAIN HSE), GRACEDIEU, BALLYBOUGHAL",,Dublin,665000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-01-11,,,,,,,,,,,
197868,2017.0,"1 ARCADIA COURT, THE SQUARE, SKERRIES,Dublin,Ireland",10/05/2017,"1 ARCADIA COURT, THE SQUARE, SKERRIES",,Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-05-10,"Arcadia Court, The Square, Townparks, Skerries, Co. Dublin, Ireland",ROOFTOP,53.5805585,-6.1115129,,premise,Fingal,Skerries,04034,Dublin,267123028
197884,2017.0,"1 Abbot's Grove Avenue, Knocklyon, Dublin 16,Dublin,Ireland",11/05/2017,"1 Abbot's Grove Avenue, Knocklyon, Dublin 16",,Dublin,343612.33,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-05-11,"24 Abbots grove, Ballycullen, Knocklyon, Co. Dublin, Ireland",ROOFTOP,53.2710579,-6.3252412,,"establishment,general_contractor,point_of_interest",South Dublin,Firhouse-Ballycullen,03012,Dublin,267085005/267085009
197888,2017.0,"1 BARNACOILLE PARK, DALKEY, DUBLIN,Dublin,Ireland",10/01/2017,"1 BARNACOILLE PARK, DALKEY, DUBLIN",,Dublin,1325000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-01-10,"1 Barnacoille Park, Glenageary, Dublin, Ireland",RANGE_INTERPOLATED,53.2811764,-6.1043738,,street_address,Dn Laoghaire-Rathdown,Dalkey-Bullock,05033,Dublin,267063005
197889,2017.0,"1 BARNWELL CHASE, BARNWELL, HANSFIELD,Dublin,Ireland",02/03/2017,"1 BARNWELL CHASE, BARNWELL, HANSFIELD",Dublin 15,Dublin,265539.65,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-03-02,,,,,,,,,,,
197900,2017.0,"1 BELMONT PARK, DONNYBROOK, DUBLIN 4,Dublin,Ireland",09/05/2017,"1 BELMONT PARK, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,660000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-05-09,"1 Belmont Park, Dublin 4, D04 P8E2, Ireland",ROOFTOP,53.3223995,-6.2384155,D04 P8E2,street_address,Dublin City,Rathmines East B,02135,Dublin,268129025
197913,2017.0,"1 BROOKMOUNT AVE, TALLAGHT, DUBLIN 24,Dublin,Ireland",07/03/2017,"1 BROOKMOUNT AVE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-03-07,"1 Brookmount Ave, Balrothery, Dublin 24, D24 W01T, Ireland",ROOFTOP,53.2907257,-6.3346529,D24 W01T,street_address,South Dublin,Tallaght-Tymon,03040,Dublin,267148009
197916,2017.0,"1 BUTTERFIELD MEADOW, BUTTERFIELD CRESCENT, RATHFARNHAM,Dublin,Ireland",06/03/2017,"1 BUTTERFIELD MEADOW, BUTTERFIELD CRESCENT, RATHFARNHAM",Dublin 14,Dublin,751000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-03-06,"Butterfield Meadow, Butterfield Cres, Rathfarnham, Dublin 14, Ireland",ROOFTOP,53.2957675,-6.2914325,,premise,South Dublin,Rathfarnham-Butterfield,03023,Dublin,267114011
197917,2017.0,"1 Balgriffin Grove, Malahide Road, Balgriffin,Dublin,Ireland",10/03/2017,"1 Balgriffin Grove, Malahide Road, Balgriffin",Dublin 13,Dublin,300000.0,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-03-10,"1 Balgriffin Park, Balgriffin, Dublin 13, D13 E3H7, Ireland",ROOFTOP,53.4107616,-6.1644029,D13 E3H7,street_address,Fingal,Balgriffin,04005,Dublin,267005005
197923,2017.0,"1 Brock Hall, Brock'sLane, Dun Laoghaire,Dublin,Ireland",09/01/2017,"1 Brock Hall, Brock'sLane, Dun Laoghaire",,Dublin,123348.02,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2017-01-09,"Apartment 8, Brock Hall, Brock's Ln, Glenageary, Dublin, Ireland",ROOFTOP,53.2943511,-6.1420837,,premise,Dn Laoghaire-Rathdown,Dn Laoghaire-West Central,05052,Dublin,267077004
197928,2017.0,"1 CARLISLE ST, CIRCULAR RD SOUTH, DUBLIN 8,Dublin,Ireland",08/02/2017,"1 CARLISLE ST, CIRCULAR RD SOUTH, DUBLIN 8",Dublin 8,Dublin,835000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-02-08,,,,,,,,,,,
197939,2017.0,"1 CASTLEWOOD LODGE, RATHMINES, DUBLIN 6,Dublin,Ireland",12/06/2017,"1 CASTLEWOOD LODGE, RATHMINES, DUBLIN 6",Dublin 6,Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-06-12,"1, Castlewood Lodge, Castlewood Terrace, Dublin 6, Ireland",ROOFTOP,53.3235329,-6.2626134,,subpremise,Dublin City,Rathmines West B,02139,Dublin,268133014
197982,2017.0,"1 CURZON ST, SOUTH CIRCULAR RD, DUBLIN 8,Dublin,Ireland",10/03/2017,"1 CURZON ST, SOUTH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,660000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-03-10,,,,,,,,,,,
197987,2017.0,"1 Citywest Avenue, Cuil Duin, Citywest,Dublin,Ireland",11/05/2017,"1 Citywest Avenue, Cuil Duin, Citywest",Dublin 24,Dublin,277533.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-05-11,"Garters Lane, Fortunestown Ln, Dublin, Ireland",GEOMETRIC_CENTER,53.284505,-6.433161,,"establishment,point_of_interest",South Dublin,Saggart,03027,Dublin,267119013
197989,2017.0,"1 Cluain Fada, Chapel Lane, Garristown,Dublin,Ireland",07/04/2017,"1 Cluain Fada, Chapel Lane, Garristown",,Dublin,250000.0,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-04-07,"Cluain Fada, Chapel Ln, Garristown, Co. Dublin, Ireland",ROOFTOP,53.5658478,-6.3789765,,premise,Fingal,Garristown,04021,Dublin,267091004
198006,2017.0,"1 Dalriada Walk, Knocklyon,Dublin,Ireland",02/02/2017,"1 Dalriada Walk, Knocklyon",Dublin 16,Dublin,345000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2017-02-02,"1 Dalriada Ct, Ballycullen, Dublin 16, D16 N274, Ireland",ROOFTOP,53.2719784,-6.3281598,D16 N274,street_address,South Dublin,Firhouse-Ballycullen,03012,Dublin,267085005/267085009
198007,2017.0,"1 Diswellstown Chase, Castleknock,Dublin,Ireland",07/02/2017,"1 Diswellstown Chase, Castleknock",Dublin 15,Dublin,365488.11,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-02-07,"1 Diswellstown Cottages, Carpenterstown, Dublin 15, D15 X4XP, Ireland",ROOFTOP,53.3677518,-6.3796801,D15 X4XP,street_address,Fingal,Castleknock-Knockmaroon,04016,Dublin,267040060
198008,2017.0,"1 Diswellstown Manor, Carpenterstown,Dublin,Ireland",10/04/2017,"1 Diswellstown Manor, Carpenterstown",Dublin 15,Dublin,616740.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-04-10,"1 Diswellstown Cottages, Carpenterstown, Dublin 15, D15 X4XP, Ireland",ROOFTOP,53.3677518,-6.3796801,D15 X4XP,street_address,Fingal,Castleknock-Knockmaroon,04016,Dublin,267040060
198010,2017.0,"1 Dodderbrook Court, Dodderbrook, Oldcourt Road,Dublin,Ireland",10/03/2017,"1 Dodderbrook Court, Dodderbrook, Oldcourt Road",Dublin 24,Dublin,339207.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017-03-10,"Oldcourt Rd, Oldcourt, Dublin, Ireland",GEOMETRIC_CENTER,53.2700459,-6.3415907,,"establishment,general_contractor,point_of_interest",South Dublin,Firhouse Village,03014,Dublin,267084004
198044,2017.0,"1 GLENCORP RD, WHITEHALL, DUBLIN 9,Dublin,Ireland",12/04/2017,"1 GLENCORP RD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,292500.0,No,No,Second-Hand Dwelling house /Apartment,,2017-04-12,"1 Glencorp Rd, Whitehall, Dublin 9, D09 EH92, Ireland",ROOFTOP,53.3835859,-6.2396691,D09 EH92,street_address,Dublin City,Whitehall D,02093,Dublin,268160011
198053,2017.0,"1 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9,Dublin,Ireland",10/02/2017,"1 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9",,Dublin,355000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-02-10,"1 Grace Park Terrace, Drumcondra, Dublin 9, D09 T0A4, Ireland",ROOFTOP,53.372314,-6.2420866,D09 T0A4,street_address,Dublin City,Drumcondra South A,02047,Dublin,268058002
198056,2017.0,"1 GREENHILLS ROAD, TALLAGH, DUBLIN 24,Dublin,Ireland",03/04/2017,"1 GREENHILLS ROAD, TALLAGH, DUBLIN 24",,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-04-03,"1 Greenhills Rd, Tymon North, Dublin 24, D24 YH7Y, Ireland",ROOFTOP,53.2977742,-6.3539941,D24 YH7Y,street_address,South Dublin,Tallaght-Tymon,03040,Dublin,267148003
198058,2017.0,"1 GROVE AVE, MALAHIDE, DUBLIN,Dublin,Ireland",02/05/2017,"1 GROVE AVE, MALAHIDE, DUBLIN",,Dublin,16000.0,No,No,Second-Hand Dwelling house /Apartment,,2017-05-02,"1 Grove Ave, Malahide, Co. Dublin, K36 YY46, Ireland",ROOFTOP,53.4472622,-6.1496689,K36 YY46,street_address,Fingal,Malahide East,04029,Dublin,267105019
